dof  u jacobi1     chebyshev1  ssor1       jacobi4     chebyshev4  ssor4       jacobi16    chebyshev16 ssor16
  93 1 0.040840000 0.001197040 0.002634440 0.033811400 0.014509500 0.013325800 0.051434200 0.034047000 0.020140500
  94 1 0.031103200 0.000917972 0.001813000 0.183360000 0.067309800 0.048532400 0.175924000 0.128138000 0.019220900
  95 1 0.029851400 0.000686799 0.001319260 0.028943900 0.057538400 0.029404700 0.209256000 0.165177000 0.022628100
  96 1 0.024524200 0.001259420 0.004145070 0.053176300 0.014953500 0.009137740 0.030696900 0.013617600 0.006010690
  97 1 0.028100700 0.000372606 0.000905198 0.159559000 0.035738500 0.044536400 0.194807000 0.149377000 0.095964900
  98 1 0.036837600 0.000565560 0.004691090 0.116577000 0.005009180 0.036196200 0.380779000 0.291097000 0.172424000
  99 1 0.023918100 0.000099297 0.003684270 0.029625800 0.010235700 0.028618300 0.419713000 0.348391000 0.215245000
 100 1 0.021249100 0.000354450 0.003241340 0.098196000 0.016596800 0.016331800 0.385286000 0.276217000 0.115652000
 101 1 0.020552700 0.000278505 0.004005350 0.127520000 0.030202800 0.027333700 0.125737000 0.106504000 0.052459600
 102 1 0.025935300 0.000091973 0.004126310 0.048885100 0.014297500 0.003573070 0.581377000 0.533443000 0.374803000
 103 1 0.023955100 0.000238466 0.001862770 0.058036100 0.027400300 0.032796000 0.062544500 0.075185100 0.075327800
 104 1 0.032296700 0.000200134 0.004503620 0.100001000 0.028726100 0.020693400 0.155358000 0.148071000 0.065309800
 105 1 0.039870300 0.000308796 0.009337270 0.081632100 0.002938780 0.000062199 0.044239200 0.017689000 0.018539000
 106 1 0.039812800 0.000300124 0.009296260 0.165580000 0.012309700 0.003752290 0.194205000 0.143095000 0.044060600
 107 1 0.038186600 0.000393397 0.002780520 0.122918000 0.038715100 0.011771200 0.024041800 0.005848680 0.024090300
 108 1 0.025389000 0.000537635 0.000489904 0.059192300 0.007568300 0.005047020 0.026749700 0.026568100 0.000964294
 109 1 0.029172000 0.001258160 0.000809473 0.151175000 0.019002500 0.034201000 0.133929000 0.162616000 0.094948000
 110 1 0.026903400 0.000609804 0.004345530 0.021866200 0.002058680 0.014910700 0.433325000 0.343606000 0.180068000
 111 1 0.020997900 0.000857132 0.002604300 0.115554000 0.016293000 0.030519700 0.188892000 0.129599000 0.082014800
 112 1 0.023327800 0.000767235 0.004194940 0.006523770 0.026868200 0.000239804 0.298957000 0.219631000 0.113369000
 113 1 0.035360500 0.000494338 0.005288720 0.049539400 0.024858800 0.011806800 0.330212000 0.279441000 0.164675000
 114 1 0.018493900 0.000670171 0.000587760 0.119760000 0.091134200 0.022896800 0.064461700 0.097510100 0.089094300
 115 1 0.017318000 0.002071340 0.000547707 0.144932000 0.064639000 0.013874400 0.178769000 0.140232000 0.042323600
 116 1 0.020920600 0.001146250 0.005090410 0.103499000 0.014944300 0.000831428 0.239150000 0.231329000 0.175899000
 117 1 0.032171300 0.000642804 0.005020430 0.098463400 0.038503200 0.021182300 0.103621000 0.108267000 0.124832000
 118 1 0.017758500 0.001231390 0.003498810 0.123814000 0.036834800 0.020994200 0.129425000 0.126272000 0.073376300
 119 1 0.023950500 0.001514630 0.001927260 0.110510000 0.013113700 0.014540400 0.232311000 0.102432000 0.043365300
 120 1 0.017508000 0.002056910 0.002541260 0.038223700 0.025105800 0.026448300 0.103777000 0.080524100 0.025605100
 121 1 0.027373100 0.000112261 0.005757710 0.110879000 0.004358380 0.031456900 0.206253000 0.141630000 0.066181900
 122 1 0.019458000 0.002219100 0.001457110 0.070207800 0.001843650 0.006185640 0.065644000 0.037409500 0.003885760
 123 1 0.019275000 0.002074490 0.002336950 0.007015340 0.004009120 0.004495430 0.212398000 0.171151000 0.101545000
 124 1 0.017420400 0.001425520 0.000388230 0.110339000 0.004650710 0.033856800 0.049219300 0.009009710 0.001329700
 125 1 0.032743700 0.000477063 0.001455930 0.053239300 0.015132200 0.030573300 0.338796000 0.226589000 0.098653800
 126 1 0.015821600 0.001845110 0.000835161 0.156563000 0.036578600 0.006115980 0.062406100 0.065153100 0.000485394
 127 1 0.024511800 0.000174944 0.002897820 0.181120000 0.053518000 0.041976800 0.472773000 0.425383000 0.331254000
 128 1 0.020122400 0.000254550 0.001479390 0.142425000 0.048285200 0.039898100 0.222409000 0.130960000 0.047189800
 129 1 0.019302700 0.000429040 0.003530310 0.182193000 0.029103300 0.054133000 0.039881400 0.054804100 0.003513960
 130 1 0.016774400 0.001497760 0.001729420 0.110254000 0.004319890 0.013234700 0.368978000 0.260563000 0.138030000
 131 1 0.031588900 0.000580974 0.002868790 0.139098000 0.031919800 0.039953900 0.008792960 0.029564400 0.042269800
 132 1 0.016113100 0.001708600 0.001907920 0.013388600 0.007704580 0.000728945 0.731478000 0.625142000 0.266751000
 133 1 0.015250100 0.001537690 0.002824500 0.115113000 0.034013000 0.041472800 0.264860000 0.177189000 0.044373600
 134 1 0.027157100 0.000746059 0.003784560 0.097471500 0.032405300 0.022222200 0.412663000 0.300064000 0.196297000
 135 1 0.014063500 0.001843420 0.003589280 0.043772200 0.013081500 0.011584200 0.228792000 0.217737000 0.058337500
 136 1 0.021253000 0.001052910 0.001364190 0.046037100 0.024103600 0.012661900 0.356325000 0.266521000 0.091279600
 137 1 0.021194100 0.001019810 0.002696380 0.092529000 0.041248000 0.034270800 0.382656000 0.314902000 0.137079000
 138 1 0.017063700 0.002205040 0.000404174 0.085731600 0.037543600 0.005941190 0.161230000 0.110003000 0.058085600
 139 1 0.015828200 0.001202150 0.000037283 0.172363000 0.051051100 0.017281000 0.001493040 0.001102830 0.077637000
 140 1 0.015809500 0.001215710 0.002325680 0.148738000 0.032337900 0.013581100 0.138116000 0.114625000 0.039821700
 141 1 0.012074200 0.002486090 0.000813357 0.127743000 0.040476200 0.013618400 0.277113000 0.159734000 0.052576700
 142 1 0.023814300 0.000983797 0.000663991 0.175561000 0.033410300 0.057155400 0.087466000 0.045585200 0.029359700
 143 1 0.012245600 0.001354420 0.000839088 0.059678600 0.027210400 0.019763900 0.140419000 0.098850600 0.036778200
 144 1 0.018003100 0.000375671 0.001354450 0.066731200 0.029120300 0.024160100 0.244949000 0.177654000 0.108053000
 145 1 0.021251100 0.000482863 0.003849400 0.070930300 0.039651100 0.039836100 0.205896000 0.185305000 0.182296000
 146 1 0.021264600 0.000486571 0.005120480 0.183988000 0.042283400 0.041604100 0.061827600 0.076138200 0.052039000
 147 1 0.009806250 0.001438200 0.000154355 0.096936700 0.021715600 0.038824500 0.185442000 0.125130000 0.071657300
 148 1 0.009926820 0.001446280 0.000436211 0.142217000 0.027615700 0.008277410 0.028498700 0.028035600 0.035011200
 149 1 0.025325300 0.002657960 0.006362080 0.075730300 0.005855470 0.017990800 0.228138000 0.180913000 0.088593900
 150 1 0.025493500 0.002599270 0.006377280 0.131486000 0.048167500 0.030332100 0.040301200 0.047494100 0.010641600
 151 1 0.012191900 0.000932638 0.000959716 0.174172000 0.019950200 0.033509500 0.390857000 0.282656000 0.169486000
 152 1 0.013594100 0.000670435 0.000527561 0.103600000 0.014468800 0.009852700 0.131517000 0.088941300 0.005525660
 153 1 0.024010600 0.002806560 0.004493650 0.086212100 0.011663700 0.039054400 0.225353000 0.158385000 0.100742000
 154 1 0.023876100 0.002534130 0.004342350 0.165105000 0.021530300 0.014022500 0.247987000 0.118643000 0.044893800
 155 1 0.009765930 0.001459440 0.000871785 0.009248840 0.004901220 0.012427500 0.098743700 0.061443900 0.054615900
 156 1 0.009704480 0.001459170 0.001013730 0.065796600 0.021947100 0.011702300 0.010255500 0.029080300 0.029143100
 157 1 0.010585400 0.001256690 0.001476000 0.151424000 0.026674300 0.041860300 0.259198000 0.198455000 0.026693000
 158 1 0.008711080 0.005601470 0.001123330 0.098538400 0.009170520 0.006104730 0.349276000 0.264646000 0.098476300
 159 1 0.007677410 0.002080570 0.000073801 0.028857100 0.001108360 0.003076510 0.420929000 0.286683000 0.115259000
 160 1 0.021801600 0.002611700 0.000883612 0.065146900 0.021145600 0.013216200 0.311867000 0.254851000 0.040380100
 161 1 0.007045060 0.001704440 0.002324100 0.041242200 0.000431723 0.010574200 0.580611000 0.447790000 0.266822000
 162 1 0.007515390 0.001225380 0.002837300 0.134066000 0.018653800 0.032625100 0.321969000 0.247212000 0.152176000
 163 1 0.007433620 0.004635020 0.001887610 0.019006000 0.005455270 0.009239940 0.015468600 0.046855200 0.029406200
 164 1 0.007894310 0.003558910 0.000646909 0.026056100 0.000318806 0.005856300 0.172815000 0.105314000 0.038176700
 165 1 0.010295700 0.001875960 0.001662690 0.030824900 0.003321390 0.015937900 0.020642100 0.001206320 0.006368540
 166 1 0.009272650 0.001110640 0.000002372 0.009923710 0.009833940 0.000722386 0.174773000 0.119061000 0.058087000
 167 1 0.008481840 0.002526200 0.000240083 0.027660100 0.005021350 0.006674900 0.139075000 0.078189900 0.078488500
 168 1 0.009775950 0.002438920 0.001152980 0.035532200 0.001879230 0.017993600 0.015981700 0.012891900 0.001237630
 169 1 0.019986300 0.001143890 0.000353380 0.041903400 0.002424450 0.018851400 0.058928900 0.023213100 0.004060630
 170 1 0.013687500 0.001125280 0.002412420 0.051948900 0.001494120 0.005351390 0.068808900 0.004429230 0.017190800
 171 1 0.012142800 0.002858950 0.000939182 0.154135000 0.015894300 0.047199600 0.115509000 0.095696800 0.044286200
 172 1 0.020304500 0.004002360 0.002617090 0.035728300 0.003394200 0.011253700 0.324296000 0.202869000 0.190316000
 173 1 0.003811000 0.000727658 0.002449380 0.169865000 0.016895500 0.024296300 0.109190000 0.057615700 0.038543300
 174 1 0.020114600 0.003929040 0.002656430 0.053782700 0.002032720 0.018181400 0.229691000 0.136453000 0.110115000
