dof  u jacobi1     chebyshev1  ssor1       jacobi4     chebyshev4  ssor4       jacobi16    chebyshev16 ssor16
  90 1 0.026685700 0.013990800 0.006669160 0.174375000 0.077202400 0.024567200 0.281930000 0.211773000 0.132978000
  91 1 0.094530100 0.002821080 0.002318540 0.026609700 0.000813355 0.024063600 0.311298000 0.332698000 0.179259000
  92 1 0.019371900 0.013263700 0.004820040 0.099247000 0.045054000 0.039045900 0.115901000 0.079768200 0.029374400
  93 1 0.089575300 0.001590580 0.002411060 0.086461800 0.013234500 0.030546200 0.070135900 0.078431500 0.074318000
  94 1 0.053254800 0.001545600 0.002507100 0.068496700 0.029159300 0.012911200 0.527657000 0.406209000 0.198353000
  95 1 0.023386500 0.002613540 0.005157210 0.091301800 0.016990500 0.023593400 0.616968000 0.605228000 0.330477000
  96 1 0.016655600 0.004708060 0.002875350 0.062103000 0.056811400 0.016186400 0.067999500 0.040181200 0.048090200
  97 1 0.065003100 0.000959927 0.002606530 0.105325000 0.002878750 0.009190530 1.056050000 0.978760000 0.640036000
  98 1 0.081997100 0.000408599 0.002142080 0.121156000 0.059253200 0.065637700 0.002593850 0.003888240 0.015204100
  99 1 0.030199800 0.003392520 0.011152300 0.005478620 0.023494200 0.010537800 0.749802000 0.657430000 0.323448000
 100 1 0.016904000 0.001181100 0.001536020 0.049345600 0.031658800 0.009789360 0.400536000 0.354131000 0.122444000
 101 1 0.029405100 0.009445080 0.010100600 0.018261900 0.013893800 0.013095100 0.218534000 0.206654000 0.048844000
 102 1 0.020287200 0.009029500 0.005662940 0.042127400 0.008662850 0.026327300 0.026635900 0.010121100 0.001602830
 103 1 0.072568400 0.000840522 0.001751540 0.177224000 0.094986200 0.008252970 0.186611000 0.081935600 0.031701300
 104 1 0.028029100 0.003416000 0.008035030 0.240093000 0.093905200 0.034904800 0.093650700 0.111050000 0.045590500
 105 1 0.012051400 0.006794590 0.001095960 0.047815100 0.020995800 0.022233600 0.093394700 0.069863900 0.028736600
 106 1 0.014357000 0.003802030 0.002894310 0.091818600 0.042517300 0.042518200 0.513386000 0.391716000 0.211843000
 107 1 0.025044300 0.007316470 0.006467340 0.021585600 0.021189800 0.006254490 0.260913000 0.189743000 0.091795600
 108 1 0.053550000 0.000302907 0.003077550 0.130768000 0.018818800 0.024342200 0.043804800 0.072879200 0.021309600
 109 1 0.080876200 0.000646868 0.001211200 0.025835100 0.031020700 0.007222580 0.056282900 0.060461400 0.036748900
 110 1 0.016488600 0.000518302 0.003467140 0.011407500 0.003930350 0.009038300 0.002258520 0.025083900 0.017540700
 111 1 0.013772300 0.001628710 0.002200710 0.034229500 0.048435000 0.026961000 0.044598600 0.050860000 0.034311100
 112 1 0.012160700 0.004826960 0.001255220 0.096355700 0.040240000 0.021701700 0.140189000 0.141104000 0.111602000
 113 1 0.024066300 0.002879960 0.000629695 0.035399400 0.015390700 0.013074400 0.061899400 0.010032400 0.047971600
 114 1 0.074564600 0.000171045 0.001393400 0.091876700 0.022799500 0.019638700 0.299842000 0.221596000 0.091794300
 115 1 0.022307800 0.002510350 0.004367400 0.141247000 0.063677200 0.028989000 0.282869000 0.196120000 0.060480500
 116 1 0.024947900 0.001981330 0.003629410 0.191210000 0.074511400 0.026975900 0.074406100 0.064858700 0.030152400
 117 1 0.009089270 0.003285650 0.000274448 0.294890000 0.097922600 0.041088000 0.190114000 0.116334000 0.006483050
 118 1 0.042991900 0.000078809 0.002853300 0.126312000 0.070856600 0.040324400 0.032993400 0.037658000 0.043538300
 119 1 0.051559300 0.000556622 0.001297010 0.009040320 0.028822400 0.029696900 0.185396000 0.109379000 0.077832800
 120 1 0.033044100 0.002674960 0.001999650 0.157490000 0.041777500 0.034868500 0.053616000 0.050270200 0.007461730
 121 1 0.017339400 0.003197030 0.006097690 0.082118100 0.018314700 0.036510900 0.471652000 0.419470000 0.145013000
 122 1 0.074372300 0.000513942 0.000983656 0.057017100 0.029568400 0.025476300 0.177728000 0.180334000 0.097660800
 123 1 0.022803300 0.002584010 0.017119200 0.080177400 0.036724000 0.002740280 0.159229000 0.132777000 0.047972400
 124 1 0.071116000 0.000264461 0.000850210 0.026700100 0.003412870 0.011968300 0.107731000 0.088301100 0.041683500
 125 1 0.022116500 0.002318160 0.009158700 0.116258000 0.061786800 0.017932200 0.166530000 0.138586000 0.071546900
 126 1 0.007919160 0.002594730 0.000528389 0.076549300 0.030745600 0.014192700 0.209774000 0.142669000 0.076972800
 127 1 0.025020700 0.001936930 0.001493110 0.104717000 0.021499900 0.032603500 0.404284000 0.286219000 0.150349000
 128 1 0.020621400 0.001994960 0.013571000 0.128270000 0.072415500 0.001263530 0.138551000 0.098001900 0.083999300
 129 1 0.066006900 0.000046180 0.000846089 0.176955000 0.091854700 0.014733000 0.077450600 0.071711400 0.086667300
 130 1 0.014018100 0.002130030 0.003067520 0.043125000 0.004103050 0.008977180 0.300501000 0.229326000 0.117918000
 131 1 0.019987200 0.001066360 0.008371560 0.076271900 0.006209140 0.009861030 0.054834400 0.063591300 0.031868100
 132 1 0.008922300 0.001930220 0.001373990 0.035050400 0.014826400 0.010599300 0.097146700 0.090480600 0.066892800
 133 1 0.033716000 0.000180103 0.001947660 0.009582330 0.011760200 0.017411100 0.843987000 0.729957000 0.583223000
 134 1 0.004220170 0.000504970 0.000251799 0.002642020 0.011280200 0.022752500 0.061236000 0.064917400 0.013331700
 135 1 0.048413800 0.000855912 0.000982406 0.117032000 0.074829200 0.035385800 0.500880000 0.458635000 0.355367000
 136 1 0.016875400 0.000579831 0.000222440 0.023784600 0.013884800 0.018031800 0.330163000 0.290713000 0.146274000
 137 1 0.025998500 0.000008447 0.002359560 0.041789100 0.040562100 0.016888600 0.003312390 0.007524720 0.008852280
 138 1 0.012756600 0.000893790 0.003281980 0.184184000 0.042874800 0.029906000 0.353260000 0.251745000 0.167177000
 139 1 0.015707000 0.000470837 0.005768530 0.136493000 0.071531700 0.047926700 0.145534000 0.162340000 0.079963700
 140 1 0.063534100 0.000093711 0.000561011 0.013404300 0.029625400 0.007818170 0.177621000 0.112780000 0.063099400
 141 1 0.051993900 0.000223111 0.000617965 0.108496000 0.025763900 0.024217900 0.392772000 0.292510000 0.205484000
 142 1 0.060973100 0.000029066 0.000616580 0.091229600 0.040183300 0.029112100 0.419160000 0.330450000 0.008469000
 143 1 0.007696610 0.000093632 0.001761620 0.031609300 0.016050200 0.026350400 0.094788300 0.049418100 0.028242500
 144 1 0.013841800 0.000010797 0.005028820 0.084503400 0.022585100 0.010023200 0.010504300 0.013685500 0.034761800
 145 1 0.006047460 0.000003638 0.000228167 0.131375000 0.026687100 0.036780100 0.139833000 0.096831700 0.033254600
 146 1 0.018791100 0.000015470 0.001440010 0.066640400 0.000114751 0.009401220 0.161693000 0.129473000 0.080022900
 147 1 0.056921500 0.000002033 0.000732071 0.160818000 0.024523800 0.044152100 0.108567000 0.062025200 0.056942100
 148 1 0.008601330 0.000223862 0.001638200 0.278453000 0.094259000 0.038561500 0.096654600 0.084950200 0.027940700
 149 1 0.003570180 0.000272297 0.000346032 0.028984000 0.013004300 0.016423700 0.013101800 0.038458300 0.045395900
 150 1 0.051677100 0.000106069 0.000315162 0.125879000 0.026710100 0.002445250 0.104637000 0.073074400 0.061068700
 151 1 0.012043600 0.000383839 0.005600010 0.006357280 0.005237060 0.023174400 0.142272000 0.103936000 0.008249980
 152 1 0.015929000 0.000280068 0.007106230 0.297988000 0.095012400 0.084450800 0.097231400 0.039563300 0.040987400
 153 1 0.014926500 0.000431120 0.005659610 0.115680000 0.019463500 0.011547800 0.153756000 0.097138000 0.029043600
 154 1 0.007969650 0.000005572 0.000806498 0.039388900 0.007477790 0.021268600 0.050014500 0.038791500 0.008699700
 155 1 0.014440900 0.000552311 0.005513970 0.212952000 0.067312700 0.046648300 0.276209000 0.198101000 0.092893200
 156 1 0.031151900 0.001235990 0.000580483 0.022906600 0.003313060 0.016263800 0.014951300 0.001220080 0.036963400
 157 1 0.045606800 0.000424977 0.000446215 0.096923700 0.016034600 0.007650700 0.156551000 0.096622900 0.012525100
 158 1 0.013740700 0.000715776 0.001551490 0.128329000 0.034528200 0.028117300 0.061225400 0.043238200 0.093289700
 159 1 0.052991400 0.000243115 0.000556506 0.075550300 0.016200100 0.041643700 0.366113000 0.265996000 0.123242000
 160 1 0.013988300 0.000968171 0.001239950 0.183087000 0.054735300 0.068642300 0.370201000 0.242126000 0.138834000
 161 1 0.006688730 0.001042100 0.001049230 0.011331100 0.001336330 0.017226700 0.180200000 0.120853000 0.035402000
 162 1 0.036327100 0.001273850 0.000621937 0.100591000 0.032744200 0.024939400 0.201355000 0.140092000 0.102164000
 163 1 0.051020700 0.000166552 0.000487263 0.096057200 0.019781500 0.000246555 0.241122000 0.144061000 0.034892100
 164 1 0.012585800 0.000859733 0.005532220 0.031206700 0.000784496 0.015347300 0.150180000 0.098182100 0.028881400
 165 1 0.047878500 0.000005934 0.000531628 0.035081900 0.002858750 0.014655400 0.350932000 0.249112000 0.174965000
 166 1 0.006606770 0.001236980 0.001789180 0.195514000 0.054439300 0.028706400 0.183264000 0.121682000 0.058361000
