dof  u jacobi1     chebyshev1  ssor1       jacobi4     chebyshev4  ssor4       jacobi16    chebyshev16 ssor16
  21 1 0.450104000 0.393941000 0.359669000 0.321575000 0.208238000 0.126271000 1.104720000 0.938698000 0.788012000
  22 1 0.007890710 0.096013100 0.089487900 0.144669000 0.080973000 0.026403100 0.943440000 0.803295000 0.732031000
  23 1 0.159274000 0.175553000 0.217958000 0.845370000 0.859699000 0.652256000 0.876540000 0.749499000 0.609735000
  24 1 0.660716000 0.554848000 0.444790000 0.394237000 0.399483000 0.229025000 1.711360000 1.228570000 0.888820000
  25 1 0.451983000 0.489497000 0.435171000 0.468068000 0.341894000 0.344170000 0.627364000 0.895497000 0.835849000
  26 1 0.089695800 0.024553900 0.020454400 0.482737000 0.374457000 0.104903000 0.692916000 0.877902000 0.747113000
  27 1 0.199448000 0.310155000 0.234826000 0.008988530 0.000545744 0.061017500 2.042650000 0.922423000 0.757331000
  28 1 0.825575000 0.682233000 0.560957000 0.036068600 0.002407920 0.002389420 0.178672000 0.843234000 0.778355000
  29 1 0.276673000 0.057036000 0.077771900 0.422740000 0.351513000 0.166848000 0.110414000 0.661843000 0.145558000
  30 1 0.416821000 0.282589000 0.253021000 0.566231000 0.506341000 0.379494000 0.228251000 0.769179000 0.459855000
  31 1 0.227212000 0.294186000 0.241873000 0.328528000 0.225512000 0.082344800 0.404483000 0.459727000 0.182151000
  32 1 0.687379000 0.571359000 0.486038000 0.375995000 0.396020000 0.285499000 1.878450000 1.301820000 0.923813000
  33 1 0.025600500 0.048065100 0.003299950 1.470960000 1.415270000 1.116580000 0.036416100 0.460774000 0.155251000
  34 1 0.196830000 0.123348000 0.124602000 0.130143000 0.004468950 0.139751000 0.268371000 0.357184000 0.393817000
  35 1 0.990778000 0.904803000 0.690879000 0.415500000 0.290742000 0.180554000 0.169443000 0.701764000 0.389886000
  36 1 0.096573300 0.139859000 0.116064000 0.216029000 0.164862000 0.190439000 0.008134610 0.010692200 0.036438300
  37 1 0.464882000 0.328623000 0.179887000 0.706531000 0.557507000 0.445685000 0.699567000 0.572704000 0.322422000
  38 1 0.000725192 0.027135000 0.001968730 0.586514000 0.439590000 0.382967000 0.635085000 0.464308000 0.302661000
  39 1 0.331899000 0.347944000 0.302593000 0.610584000 0.544714000 0.504345000 1.646040000 0.205611000 0.163945000
  40 1 0.439701000 0.353234000 0.203256000 0.474279000 0.466756000 0.405655000 0.185977000 0.177911000 0.158732000
  41 1 0.633489000 0.548221000 0.421219000 0.211673000 0.127717000 0.036596600 0.572516000 0.555205000 0.323412000
  42 1 0.162887000 0.096485200 0.077002900 1.042390000 0.903442000 0.757732000 0.530931000 0.542868000 0.289514000
  43 1 0.126741000 0.050910800 0.033153100 0.450901000 0.429965000 0.286512000 0.630603000 0.449999000 0.198389000
  44 1 0.276863000 0.092613100 0.040930700 0.807151000 0.632720000 0.439267000 0.683703000 0.654020000 0.308138000
  45 1 0.588443000 0.377885000 0.182627000 0.843733000 0.701039000 0.487468000 0.954335000 0.940265000 0.584664000
  46 1 0.671510000 0.458671000 0.349439000 0.282598000 0.194889000 0.152495000 0.406210000 0.272732000 0.151299000
  47 1 1.015050000 0.727242000 0.477243000 0.370859000 0.332387000 0.110094000 0.558753000 0.126750000 0.391795000
  48 1 0.104741000 0.127882000 0.010261300 0.369430000 0.239964000 0.132571000 0.251885000 0.428455000 0.258132000
  49 1 0.103492000 0.029628000 0.047158900 1.434770000 1.348790000 1.191020000 1.598400000 0.837804000 0.021912600
  50 1 0.616961000 0.473030000 0.299140000 0.341687000 0.338254000 0.338497000 1.766110000 0.471828000 0.221512000
  51 1 0.333895000 0.253362000 0.129951000 0.264452000 0.223093000 0.210634000 1.691110000 0.634390000 0.290692000
  52 1 0.452092000 0.289232000 0.168710000 0.453629000 0.422486000 0.389807000 0.870473000 0.551741000 0.476971000
